編號,語錄,,圖奇,語錄,
115,魯尼哭（表符,jpg,,,
116,抄玥歌回是吧,jpg,,,
117,我知道,jpg,,,
118,妳還沒回我,jpg,,,
119,我今天跟你說早安 還說了我愛你,jpg,,,
120,wwwwwww,jpg,,,
121,Wwwww,jpg,,,
122,玥生氣（表符*6,jpg,,,
123,大家一起insane,jpg,,,
124,各位請用。,jpg,,,
125,降臨中...,jpg,,,
126,那個藍色是誰啊 好好聽喔,jpg,,,
127,嗨!!!跳舞派對,jpg,,,
128,我來敲門了,jpg,,,
129,被漏掉的13跟14在角落默默哭泣,jpg,,,
130,玥色 煌昏倒,jpg,,,
131,誒 這個不錯,jpg,,,
132,太突然了,jpg,,,
133,好啊,jpg,,,
134,百因必有果 我的報應就是你,jpg,,,
135,不要自作多情,jpg,,,
136,我愛的是魯尼,jpg,,,
137,我才不愛你,jpg,,,
138,小被被-1囉owo,jpg,,,
139,我走了 再也不回來,jpg,,,
140,我不,jpg,,,
141,放心我已經撕了 但是很好聽,jpg,,,
142,(拿出好朋友合約（撕碎,jpg,,,
143,e04,jpg,,,
144,你確實該多唱一點咪安內,jpg,,,
145,生氣歪臉(表符,jpg,,,
146,我感覺我要走,jpg,,,
147,早安,jpg,,,
148,爆米花(表符,jpg,,,
149,沒..沒有,jpg,,,
150,你拿走吧,jpg,,,
151,沒關係 即使這樣我還是很喜歡學姊,jpg,,,
152,(努力苟活,jpg,,,
153,所以我沒有騙你,jpg,,,
154,但我並沒有說愛你,jpg,,,
155,我要是騙了你 就不是愛了,jpg,,,
156,愛你 就不會騙你,jpg,,,
157,倒過來,jpg,,,
158,我愛不愛你,jpg,,,
159,你愛我,jpg,,,
160,但我沒有權限,jpg,,,
161,yyes,jpg,,,
162,謝謝我好了,jpg,,,
163,55555555,jpg,,,
164,你也知道,jpg,,,
165,5jo4ru xk7,jpg,,,
166,墜機了,jpg,,,
167,抱歉各位，自行買機票上車,jpg,,,
168,啊哈，謝謝各位轉機,jpg,,,
169,誒不是，魯尼為什麼現在在我台,jpg,,,
170,我要瘋掉,jpg,,,
171,不要GO!!!!!!!',jpg,,,
172,你離開拉不要看我黑歷史拉齁優嗚嗚嗚嗚ㄚㄚㄚㄚ,jpg,,,
173,不是那個!!!,jpg,,,
174,阿Q',jpg,,,
175,????,jpg,,,
176,你說啥,jpg,,,
177,我難過,jpg,,,
178,真的,jpg,,,
179,嗚嗚嗚嗚嗚嗚狐狸的嘴 騙人的鬼,jpg,,,
180,w*25,jpg,,,
181,兩個人就不會臭 懂了,jpg,,,
182,?這什麼問題,jpg,,,
183,喔～兩天洗一次頭比較有可能,jpg,,,
184,早肯定每天洗,jpg,,,
185,䅰......,jpg,,,
186,誰不洗澡,jpg,,,
187,?不是 你很好 我很好 一起唱肯定更好,jpg,,,
188,等一下w*8,jpg,,,
189,會變成落拍歌回 我會拖後腿.. 不敢回答,jpg,,,
190,誒我覺得 突然 很想睡覺,jpg,,,
191,晚..晚安,jpg,,,
192,沒有沒有 粉絲叫我早睡 對 我顧健康,jpg,,,
193,yt 愛心表服,jpg,,,
194,自己混得不太好 還望各位海涵,jpg,,,
195,:),jpg,,,
196,對不起但我很開心,jpg,,,
197,我愛大家,jpg,,,
198,我真的沒有搖嗎 去重看一遍,jpg,,,
199,我居然錯過了濃縮藍鯨,jpg,,,
200,??,jpg,,,
201,我是笨人,jpg,,,
202,本人,jpg,,,
203,因為很難,jpg,,,
204,不要誇了 我要縮起來了,jpg,,,
205,裘德這首節拍很難誒QQ,jpg,,,
206,說了 就是要吃,jpg,,,
207,讚啦,jpg,,,
208,吃螢幕,jpg,,,
209,快,jpg,,,
210,各位抱歉 是八點半 我又...又PON,jpg,,,
211,？,jpg,,,
212,吃啥,jpg,,,
213,不要！（一大堆！,jpg,,,
214,逃了,jpg,,,
215,老姐這把我支持阿毛,jpg,,,
216,我沒有偷嗆 我正大光明,jpg,,,
217,推薦你們可以去吃甲蟲果凍,jpg,,,
218,（一堆！,jpg,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,原來想寄傳票是這種感覺,jpg,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
